0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:40:10 +0100] "GET /BTS/Filiere/List HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:42:44 +0100] "GET /BTS/Cycle/List HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:42:44 +0100] "GET /BTS/AnneeScolaireCourante/List HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:42:44 +0100] "GET /BTS/AnneeScolaire/List HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:42:45 +0100] "GET /BTS/Niveau/List HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:42:45 +0100] "GET /BTS/Filiere/List HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:45:28 +0100] "GET /BTS/E.DirecteurEtudes/Profile?userId= HTTP/1.1" 200 16687
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:45:28 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Jan/2023:18:45:28 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:01:08 +0100] "GET /BTS/Filiere/List HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:01:08 +0100] "GET /BTS/AnneeScolaireCourante/List HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:01:08 +0100] "GET /BTS/Cycle/List HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:01:08 +0100] "GET /BTS/AnneeScolaire/List HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:01:08 +0100] "GET /BTS/Niveau/List HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:05 +0100] "GET /BTS/E.Professeur/Evaluation HTTP/1.1" 200 46048
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:06 +0100] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:06 +0100] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:19:25:06 +0100] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
