127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:29 +0000] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:00:30 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:00:30 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 1008
127.0.0.1 - - [07/May/2020:01:00:30 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 5895
127.0.0.1 - - [07/May/2020:01:00:43 +0000] "GET /BTS/Filiere/List HTTP/1.1" 200 528
127.0.0.1 - - [07/May/2020:01:00:43 +0000] "GET /BTS/OptionBac/List HTTP/1.1" 200 56
127.0.0.1 - - [07/May/2020:01:00:43 +0000] "GET /BTS/Mention/List HTTP/1.1" 200 95
127.0.0.1 - - [07/May/2020:01:01:11 +0000] "POST /BTS/Etudiant/Add HTTP/1.1" 200 59
127.0.0.1 - - [07/May/2020:01:01:11 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 7004
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/E.DirecteurEtudes/Etudiants.jsp HTTP/1.1" 200 63022
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/all.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/popper.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:34 +0000] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:35 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:02:35 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 1008
127.0.0.1 - - [07/May/2020:01:02:36 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 7004
127.0.0.1 - - [07/May/2020:01:02:42 +0000] "GET /BTS/Etudiant/Delete?id=40 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:02:42 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 5893
127.0.0.1 - - [07/May/2020:01:02:53 +0000] "GET /BTS/Etudiant/Delete?id=40 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:02:53 +0000] "GET /BTS/Etudiant/Delete?id=38 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:02:53 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 4791
127.0.0.1 - - [07/May/2020:01:02:53 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 4791
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/E.DirecteurEtudes/Etudiants.jsp HTTP/1.1" 200 63022
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/all.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/popper.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 1008
127.0.0.1 - - [07/May/2020:01:02:56 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 4791
127.0.0.1 - - [07/May/2020:01:03:01 +0000] "GET /BTS/Filiere/List HTTP/1.1" 200 528
127.0.0.1 - - [07/May/2020:01:03:01 +0000] "GET /BTS/OptionBac/List HTTP/1.1" 200 56
127.0.0.1 - - [07/May/2020:01:03:01 +0000] "GET /BTS/Mention/List HTTP/1.1" 200 95
127.0.0.1 - - [07/May/2020:01:03:46 +0000] "POST /BTS/Etudiant/Add HTTP/1.1" 200 59
127.0.0.1 - - [07/May/2020:01:03:46 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 5904
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/E.DirecteurEtudes/Etudiants.jsp HTTP/1.1" 200 63022
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/all.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/popper.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:30 +0000] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:31 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:05:31 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 1008
127.0.0.1 - - [07/May/2020:01:05:32 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 5904
127.0.0.1 - - [07/May/2020:01:05:36 +0000] "GET /BTS/Etudiant/Delete?id=36 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:05:36 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 4798
127.0.0.1 - - [07/May/2020:01:05:42 +0000] "GET /BTS/Etudiant/Delete?id=36 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:05:42 +0000] "GET /BTS/Etudiant/Delete?id=44 HTTP/1.1" 200 53
127.0.0.1 - - [07/May/2020:01:05:42 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 3684
127.0.0.1 - - [07/May/2020:01:05:42 +0000] "GET /BTS/Etudiant/List HTTP/1.1" 200 3684
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/E.DirecteurEtudes/Etudiants.jsp HTTP/1.1" 200 63022
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/all.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/dataTables.bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/jquery.dataTables.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 1010
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2020:01:05:44 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 304 -
