0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/main.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/css/fontawesome.min.css HTTP/1.1" 200 55757
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/dataTables.buttons.min.js HTTP/1.1" 200 20324
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/buttons.flash.min.js HTTP/1.1" 200 26264
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/jszip.min.js HTTP/1.1" 200 95838
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/buttons.html5.min.js HTTP/1.1" 200 25071
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/buttons.print.min.js HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/vfs_fonts.js HTTP/1.1" 200 926233
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:25 +0000] "GET /BTS/js/pdfmake.min.js HTTP/1.1" 200 1170765
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13568
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/jquery.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/popper.js HTTP/1.1" 200 21007
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/jquery-ui.min.js HTTP/1.1" 200 36681
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/dataTables.bootstrap.js HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/jquery.dataTables.min.js HTTP/1.1" 200 84501
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/main.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/dataTables.buttons.min.js HTTP/1.1" 200 20324
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/buttons.flash.min.js HTTP/1.1" 200 26264
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/jszip.min.js HTTP/1.1" 200 95838
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/buttons.html5.min.js HTTP/1.1" 200 25071
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:26 +0000] "GET /BTS/js/buttons.print.min.js HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:27 +0000] "GET /BTS/js/vfs_fonts.js HTTP/1.1" 200 926233
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:27 +0000] "GET /BTS/js/pdfmake.min.js HTTP/1.1" 200 1170765
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:31 +0000] "GET /BTS/E.Professeur/Classes HTTP/1.1" 200 42823
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:14:31 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
