what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1590724777786
error,log,,,"Unhandled event loop exception",1590724777886
error,log,,,"Unhandled event loop exception",1590724777976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1590724783986
error,log,,,"Unhandled event loop exception",1590724786736
error,log,,,"Unhandled event loop exception",1590724786836
error,log,,,"Unhandled event loop exception",1590724786926
error,log,,,"Unhandled event loop exception",1590724787016
error,log,,,"Unhandled event loop exception",1590724787116
error,log,,,"Unhandled event loop exception",1590724787216
error,log,,,"Unhandled event loop exception",1590724787306
error,log,,,"Unhandled event loop exception",1590724787396
error,log,,,"Unhandled event loop exception",1590724787496
error,log,,,"Unhandled event loop exception",1590724787586
error,log,,,"Unhandled event loop exception",1590724787676
error,log,,,"Unhandled event loop exception",1590724787776
error,log,,,"Unhandled event loop exception",1590724787866
error,log,,,"Unhandled event loop exception",1590724787956
error,log,,,"Unhandled event loop exception",1590724788046
error,log,,,"Unhandled event loop exception",1590724788136
error,log,,,"Unhandled event loop exception",1590724788236
error,log,,,"Unhandled event loop exception",1590724788316
error,log,,,"Unhandled event loop exception",1590724788406
error,log,,,"Unhandled event loop exception",1590724788496
error,log,,,"Unhandled event loop exception",1590724788586
error,log,,,"Unhandled event loop exception",1590724788676
error,log,,,"Unhandled event loop exception",1590724788766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1590724827877
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1590724847937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1590724880437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1590724914137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1590724915867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1590724925375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1590724938244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1590724941514
error,log,,,"Unhandled event loop exception",1590724949142
error,log,,,"Unhandled event loop exception",1590724949242
error,log,,,"Unhandled event loop exception",1590724949332
error,log,,,"Unhandled event loop exception",1590724949432
error,log,,,"Unhandled event loop exception",1590724949532
error,log,,,"Unhandled event loop exception",1590724949632
error,log,,,"Unhandled event loop exception",1590724949732
error,log,,,"Unhandled event loop exception",1590724949832
error,log,,,"Unhandled event loop exception",1590724949932
error,log,,,"Unhandled event loop exception",1590724950022
error,log,,,"Unhandled event loop exception",1590724950122
error,log,,,"Unhandled event loop exception",1590724950222
error,log,,,"Unhandled event loop exception",1590724950322
error,log,,,"Unhandled event loop exception",1590724950422
error,log,,,"Unhandled event loop exception",1590724950522
error,log,,,"Unhandled event loop exception",1590724950622
error,log,,,"Unhandled event loop exception",1590724950722
error,log,,,"Unhandled event loop exception",1590724950822
error,log,,,"Unhandled event loop exception",1590724950912
error,log,,,"Unhandled event loop exception",1590724951012
error,log,,,"Unhandled event loop exception",1590724951102
error,log,,,"Unhandled event loop exception",1590724951212
error,log,,,"Unhandled event loop exception",1590724951302
error,log,,,"Unhandled event loop exception",1590724957552
error,log,,,"Unhandled event loop exception",1590724957642
error,log,,,"Unhandled event loop exception",1590724957742
error,log,,,"Unhandled event loop exception",1590724957842
error,log,,,"Unhandled event loop exception",1590724957932
error,log,,,"Unhandled event loop exception",1590724958032
error,log,,,"Unhandled event loop exception",1590724958122
error,log,,,"Unhandled event loop exception",1590724958212
error,log,,,"Unhandled event loop exception",1590724958302
error,log,,,"Unhandled event loop exception",1590724958392
error,log,,,"Unhandled event loop exception",1590724958482
error,log,,,"Unhandled event loop exception",1590724958582
error,log,,,"Unhandled event loop exception",1590724958672
error,log,,,"Unhandled event loop exception",1590724958762
error,log,,,"Unhandled event loop exception",1590724958862
error,log,,,"Unhandled event loop exception",1590724958962
error,log,,,"Unhandled event loop exception",1590724959052
error,log,,,"Unhandled event loop exception",1590724959152
error,log,,,"Unhandled event loop exception",1590724959252
error,log,,,"Unhandled event loop exception",1590724959362
error,log,,,"Unhandled event loop exception",1590724959462
error,log,,,"Unhandled event loop exception",1590724959552
error,log,,,"Unhandled event loop exception",1590724959652
error,log,,,"Unhandled event loop exception",1590724988162
error,log,,,"Unhandled event loop exception",1590724988262
error,log,,,"Unhandled event loop exception",1590724988362
error,log,,,"Unhandled event loop exception",1590724988462
error,log,,,"Unhandled event loop exception",1590724988562
error,log,,,"Unhandled event loop exception",1590724988672
error,log,,,"Unhandled event loop exception",1590724988782
error,log,,,"Unhandled event loop exception",1590724988892
error,log,,,"Unhandled event loop exception",1590724989002
error,log,,,"Unhandled event loop exception",1590724989112
error,log,,,"Unhandled event loop exception",1590724989222
error,log,,,"Unhandled event loop exception",1590724989322
error,log,,,"Unhandled event loop exception",1590724989422
error,log,,,"Unhandled event loop exception",1590724989532
error,log,,,"Unhandled event loop exception",1590724989632
error,log,,,"Unhandled event loop exception",1590724989742
error,log,,,"Unhandled event loop exception",1590724989852
error,log,,,"Unhandled event loop exception",1590724989962
error,log,,,"Unhandled event loop exception",1590724990062
error,log,,,"Unhandled event loop exception",1590724990172
error,log,,,"Unhandled event loop exception",1590724990272
error,log,,,"Unhandled event loop exception",1590724990372
error,log,,,"Unhandled event loop exception",1590724990472
error,log,,,"Unhandled event loop exception",1590724996472
error,log,,,"Unhandled event loop exception",1590724996562
error,log,,,"Unhandled event loop exception",1590724996652
error,log,,,"Unhandled event loop exception",1590724996752
error,log,,,"Unhandled event loop exception",1590724996842
