what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063021152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063023882
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1591063023942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1591063042452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1591063052942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063078982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063322276
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1591063335766
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063335766
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1591063338306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063340796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063350166
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063358526
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063358566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063366296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063393416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063396926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063403086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063410776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063526996
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1591063529436
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063529436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063531776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063716496
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1591063719686
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063719976
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063720016
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1591063722186
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063722186
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1591063723746
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063727736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1591063727776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1591063740956
