what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852591138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852644302
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585852693036
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585852715079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1585852739384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585852750226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585852776951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852778621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852835218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852837511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852852966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852864494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852890297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852907987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585852989139
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585852997282
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1585853004567
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1585853004598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853127246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853130179
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585853138197
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853142861
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853142908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853163173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853167759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853170208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853170255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853171628
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1585853171643
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585853174751
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585853174782
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853183760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585853200218
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853203447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585853206817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853224008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853225896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853229733
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585853231527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853240827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853242356
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853244634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853291621
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585853295849
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853307364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585853320265
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853322387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585853329906
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853332308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585853347222
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853349406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1585853360638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853362448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853364009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853365631
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1585853367301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1585853374355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853379440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853393153
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853394526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853445460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853458096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853467612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853469796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853541120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853548374
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853550683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853577765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853588388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1585853638027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853642427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1585853798621
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585853800586
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853802599
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853802614
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1585853818214
