what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1583627566133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1583627593199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1583627609594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1583627614056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583627615788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583627665786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627690980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627717946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1583627743452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1583627787647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583627813980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627816054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627839839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1583627846625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1583627917792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583627919165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627921053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583627943616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583628003661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628025267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628101382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628167994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628199999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1583628215147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1583628219655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1583628224054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628227096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1583628259404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1583628484310
