what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1586643366403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643373563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643384499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586643389694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643403047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643412532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586643414638
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1586643423218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643431205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643431517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643478926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643491499
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1586643498598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643512919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643513138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586643584696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643586599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643734425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586643739355
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1586643753020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643755516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643755766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643813205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643814937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586643817417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643837557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586643869928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643918056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586643959068
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1586643965589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643966931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643968257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643968413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643981626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586643983560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644103494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644114851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644122589
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1586644122604
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1586644138017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644149016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644152167
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1586644152183
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1586644155912
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1586644156192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1586644162963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644163275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644163322
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1586644166223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644183414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644548438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644555598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586644557720
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1586644557766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586646378984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586646511466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1586646520504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586646566836
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1586646597833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586646598863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586646599112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586646605602
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1586646639563
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1586646639751
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1586646639782
