what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133155247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133164197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133166757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133170514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133170731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133177824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133178043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133188371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133190998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133210522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133213442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133226417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133226645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133231505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133231716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133236360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133238830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133257113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133260563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133270985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133271194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133293319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133301568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133301827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133306661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1586133331551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133339400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1586133369243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133372545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1586133381276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586133383770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133391872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586133392114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586133395580
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1586133447510
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1586133453187
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1586133458720
