what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552123995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552124229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552143682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552176037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552176239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552181933
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552185194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552187081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552187378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552189936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552203929
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577552276236
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577552331506
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577552334190
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552369680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552371146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552371411
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552380803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552382862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552383080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552387823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552412331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552445840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552449100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552454966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552460099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552461378
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552467009
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552474170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552477540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552477759
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552481206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552483141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552483406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552609064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552633899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552634118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1577552639827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552644336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552733724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552733958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552754971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552757062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552761757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552764222
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552771694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552773769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552773972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552791007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552793472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552798511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552798729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552812707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552816014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552850693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552856137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552860786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552860989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1577552864967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552868649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552875606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552879366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552885715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552885949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1577552891861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552894498
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552965946
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577552976320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552977630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577552977833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552979612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577552987521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577552992216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577552995477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553001405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553001654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577553017005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577553019969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577553035631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553079842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553080045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577553132991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553147842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577553148045
