what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833539323
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1584833539363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833549443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833577463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833590403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833603244
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1584833603284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833610614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833614424
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1584833614484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833620634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833622334
error,log,,,"Could not retrieve interfaces",1584833622354
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1584833622384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1584833626494
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584833635645
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833652585
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833652605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833667285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833668845
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1584833668875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833680315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833682365
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1584833682405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833689715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833693385
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1584833693435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833700605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1584833701935
error,log,,,"Could not retrieve interfaces",1584833701965
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1584833701985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1584833705145
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584833708395
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833711515
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584833716405
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833716835
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833716855
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833722305
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833722305
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833727325
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1584833727325
