what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122111259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122218134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1586122225045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122234093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122237853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122239756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122252647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122253817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122269370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122281351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122299509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122308950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122310151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122495620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122518801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122520299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122536823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122543921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122547992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122559132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122563641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122565326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122584648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122588454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122589936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122596780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1586122604877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122606296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1586122702351
